"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"renae hickert","2007440","2009-2011","ks","Rural Vista","Hickert, Renae","2008730","2015-2018","ks","Liberal","Hickert, Renae"
"paul becker","2004830","2009-2010","ks","North Jackson","Becker, Paul","2004920","2015-2018","ks","Clearwater","Becker, Paul"
"morgan ballard","2011430","2023","ks","Skyline Schools","Morgan Ballard","2006990","2024","ks","Haviland","Morgan Ballard"
"mary treaster","2008310","2009-2012","ks","Fairfield","Treaster, Mary","2008880","2013","ks","Little River","Treaster, Mary"
"nancy meyer","2009660","2009","ks","Marmaton Valley","Meyer, Nancy","2011100","2015","ks","Riley County","Meyer, Nancy"
"larry lysell","2008910","2010-2012","ks","Logan","Lysell, Larry","2000346","2023","ks","Thunder Ridge Schools","Larry Lysell"
"robert colby","2600009","2008","mi","Bloomfield Twp.","Robert Colby","2634860","2008","mi","Verona Twp. #1f","Robert Colby"
"charles andrews","2600327","2008","mi","Hospitality Academy","Charles Andrews","2600329","2008","mi","Industrial Technology Academy","Charles Andrews"
"mark gable","2600944","2011","mi","Traverse City College Preparatory Academy","Mark Gable","2601016","2015","mi","Caniff Liberty Academy","Mark Gable"
"ron wiens","2600212","2011","mi","Global Preparatory Academy","Ron Wiens","2600298","2011-2012","mi","Dr. Charles Drew Academy","Ron Wiens"
"terri mileski","2629340","2008","mi","Rapid River","Terri Mileski","2623550","2014-2015","mi","Menominee","TERRI MILESKI"
"monica martin","2600943","2014-2015","mi","Ace Academy (Sda)","Monica Martin","2601013","2014-2015","mi","Capstone Academy Charter School (Sda)","Monica Martin"
"mohamad issa","2600301","2008, 2011, 2014-2015","mi","Frontier International Academy","Mohamad Issa","2600991","2014-2015","mi","Gee Edmonson Academy","Mohamad Issa"
"john strycker","2625290","2008, 2011-2012","mi","New Lothrop","John Strycker","2602190","2014-2015","mi","Algonac","John Strycker"
"dedrick martin","2636630","2011-2012","mi","Ypsilanti","Dedrick Martin","2632820","2014-2015","mi","St. Johns","Dedrick Martin"
"andrew shaw","2628500","2008, 2011-2012","mi","Pittsford","Andrew Shaw","2623100","2015","mi","Mason (Monroe)","Andrew Shaw"
"brian wilson","2912180","2007-2010","mo","Fordland R-Iii","BRIAN WILSON","2904050","2011-2014","mo","Ava R-I","BRIAN WILSON"
"joe layton","2927900","2005-2007","mo","Seneca R-Vii","JOE LAYTON","2931950","2009-2011","mo","Wheaton R-Iii","JOE LAYTON"
